IDJwb,IDPSJ,questions_clean,answerKeys_clean,answer_clean,raw_grade,max_grade,grade,labela,label
204,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010139']",['representasi fisik dalam konsep penyimpanan berkas adalah penyimpanan yang bersifat fisik dan dapat digunakan untuk menyimpan berkas berkas dalam jangka panjang contohnnya hardis dan memori internal'],1.0,5.0,2.0,E,1
205,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010140']","['representasi fisik adalah spesifikasi dari struktur data sesuai dengan implementasinya dalam memori komputer dan kesediaan dalam bahasa pemrograman', 'representasi jenis ini menggunakan ekspresi ekspresi dalam logika formal untuk merepresentasikan basis pengetahuan', 'pada dasarnya proses logika adalah proses membentuk kesimpulan dan menarik suatu inferensi berdasarkan fakta yang telah ada', 'penyimpanan logis adalah']",2.0,5.0,4.0,D,2
206,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010141']","['representasi fisik dalam konsep penyimpanan berkas adalah penyimpanan yang bersifat yang dapat digunakan untuk menyimpan berkas dalam jangka panjang contohnya adalah harddisk dan memori internal', 'sedangkan representasi logis adalah penyimpanan yang bersifat volatile dan dapat di ubah kapan saja', 'contohnya adalah ram dan penyimpanan cache di komputer']",2.5,5.0,5.0,D,2
207,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010142']","['representasi fisik dalam konsep penyimpanan berkas di komputer merujuk pada bagaimana data benar benar disimpan pada perangkat keras seperti lokasi data pada blok blok di hard drive atau ssd', 'contohnya data disimpan dalam sektor dan track pada disk', 'representasi logis sebaliknya adalah bagaimana sistem operasi dan pengguna melihat dan mengelola data melalui struktur file dan direktori', 'misalnya saat kita melihat file document txt dalam folder di desktop itu adalah representasi logis sementara secara fisik file tersebut dipecah menjadi blok blok data tersebar di berbagai lokasi pada disk', 'perbedaan utamanya adalah bahwa representasi fisik berhubungan dengan bagaimana data tersimpan secara fisik sementara representasi logis adalah tampilan abstraksi yang memudahkan akses dan manajemen data']",5.0,5.0,10.0,A,5
208,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010143']","['representasi fisik adalah cara sistem komputer menyimpan dan mengakses data secara nyata di media penyimpanan seperti hard disk atau ssd menggunakan alamat biner atau heksadesimal', 'representasi ini tidak ditujukan untuk pengguna', 'sebaliknya representasi logis adalah cara penyimpanan yang ditampilkan kepada pengguna dalam bentuk drive folder dan nama file', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx sedangkan contoh representasi fisik adalah alamat data dalam bentuk biner seperti 10010111']",5.0,5.0,10.0,A,5
209,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010144']","['representasi fisik dalam penyimpanan berkas adalah pengkodean lokasi data di media penyimpanan komputer menggunakan bilangan biner atau heksadesimal agar sistem dapat menyimpan dan menemukan kembali data', 'representasi logis merupakan tampilan penyimpanan yang mudah dipahami manusia berupa struktur folder dan nama file', 'contohnya pengguna melihat file pada d adalah atau data atau laporan pdf sedangkan komputer mengaksesnya melalui alamat fisik tertentu dalam bentuk biner']",4.5,5.0,9.0,A,5
210,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010145']","['representasi fisik adalah cara komputer merepresentasikan lokasi data secara internal menggunakan alamat memori atau sektor hard disk yang dinyatakan dalam bilangan biner atau heksadesimal', 'representasi logis adalah cara manusia memahami lokasi data melalui nama drive folder dan file', 'contoh logis adalah c adalah atau documents atau tugas docx sedangkan contoh fisik adalah alamat penyimpanan berupa rangkaian bit seperti 10010111']",5.0,5.0,10.0,A,5
211,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010146']","['dalam sistem komputer representasi fisik menunjukkan lokasi data sebenarnya di media penyimpanan dengan alamat numerik berbasis biner atau heksadesimal', 'representasi ini digunakan oleh sistem bukan oleh pengguna', 'representasi logis ditujukan untuk pengguna agar mudah mengelola data misalnya dengan folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx sedangkan representasi fisik berupa kode biner tertentu']",5.0,5.0,10.0,A,5
212,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010147']","['representasi fisik adalah mekanisme penyimpanan data yang digunakan oleh sistem komputer yaitu berupa alamat fisik di hard disk atau ssd yang direpresentasikan dengan bilangan biner atau heksadesimal', 'representasi logis adalah cara pengguna melihat dan mengakses data melalui struktur direktori', 'sebagai contoh pengguna membuka file di c adalah atau kuliah atau materi docx sementara sistem mengakses alamat fisiknya seperti 10110101']",4.5,5.0,9.0,A,5
213,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010148']","['epresentasi fisik menggambarkan bagaimana data disimpan secara nyata di media penyimpanan dengan alamat yang dikodekan dalam bentuk biner atau heksadesimal', 'representasi logis menggambarkan bagaimana data tersebut ditampilkan kepada pengguna dalam bentuk jalur file yang terstruktur', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx sedangkan contoh representasi fisik adalah alamat data berupa bit bit biner']",5.0,5.0,10.0,A,5
214,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010149']","['representasi fisik adalah sistem pengalamatan data yang digunakan komputer untuk menyimpan dan menemukan data di media penyimpanan biasanya menggunakan bilangan biner atau heksadesimal', 'representasi logis adalah tampilan penyimpanan yang dirancang agar mudah dipahami oleh manusia', 'contoh logis adalah folder dan file seperti d adalah atau foto atau liburan jpg sedangkan contoh fisik adalah alamat penyimpanan dalam bentuk kode biner']",5.0,5.0,10.0,A,5
215,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010150']","['dalam penyimpanan berkas representasi fisik mengacu pada lokasi data yang sebenarnya di media penyimpanan yang dinyatakan dengan alamat biner atau heksadesimal', 'representasi logis mengacu pada struktur penyimpanan yang dilihat pengguna seperti drive folder dan nama file', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx sedangkan contoh fisiknya adalah alamat biner 10010111']",5.0,5.0,10.0,A,5
216,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010151']","['representasi fisik merupakan cara komputer mengelola penyimpanan data secara internal dengan menggunakan alamat fisik berbasis bilangan biner atau heksadesimal', 'representasi logis adalah cara penyimpanan yang dipahami oleh pengguna dalam bentuk hierarki folder dan file', 'misalnya pengguna melihat file di c adalah atau data atau arsip docx sementara komputer mengaksesnya melalui alamat fisik tertentu']",5.0,5.0,10.0,A,5
217,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010152']","['representasi fisik adalah pengkodean lokasi data di media penyimpanan yang digunakan oleh sistem komputer biasanya dalam bentuk bilangan biner atau heksadesimal', 'representasi logis adalah representasi yang dibuat agar manusia mudah mengakses dan mengelola data berupa nama drive folder dan file', 'contoh logis adalah c adalah atau lectures atau genap24 atau namafile docx sedangkan contoh fisik adalah alamat data dalam bentuk biner 8 bit seperti 10010111']",5.0,5.0,10.0,A,5
218,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010153']","['representasi fisik dalam penyimpanan berkas adalah cara sistem komputer mengidentifikasi dan menyimpan data pada media penyimpanan menggunakan alamat fisik yang dikodekan dalam bilangan biner atau heksadesimal', 'representasi ini digunakan oleh sistem operasi untuk mengelola data secara efisien', 'sebaliknya representasi logis adalah cara penyimpanan ditampilkan kepada pengguna dalam bentuk struktur direktori yang mudah dipahami', 'contohnya pengguna mengakses file melalui jalur c adalah atau lectures atau genap24 atau namafile docx sedangkan komputer mengaksesnya melalui alamat fisik tertentu dalam bentuk biner']",5.0,5.0,10.0,A,5
219,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010154']","['representasi fisik merupakan mekanisme internal komputer dalam menyimpan data pada media penyimpanan dengan menggunakan alamat numerik berbasis biner atau heksadesimal', 'mekanisme ini tidak ditujukan untuk interaksi langsung dengan pengguna', 'representasi logis sebaliknya merupakan abstraksi penyimpanan yang disediakan agar pengguna dapat mengelola data secara terstruktur melalui nama drive folder dan file', 'contoh representasi logis adalah c adalah atau data atau materi kuliah docx sementara representasi fisik berupa kode alamat biner seperti 10010111']",5.0,5.0,10.0,A,5
220,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010155']","['dalam sistem penyimpanan berkas representasi fisik mengacu pada lokasi data yang sebenarnya di media penyimpanan yang dinyatakan dalam bentuk bilangan biner atau heksadesimal agar dapat diproses oleh komputer', 'representasi logis mengacu pada cara data tersebut disajikan kepada pengguna dalam bentuk hierarki direktori', 'sebagai contoh file yang diakses melalui d adalah atau kuliah atau semester4 atau tugas docx secara fisik tersimpan pada alamat tertentu yang direpresentasikan dalam bentuk biner']",5.0,5.0,10.0,A,5
221,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010156']","['representasi fisik adalah bentuk representasi penyimpanan yang digunakan oleh sistem komputer untuk menyimpan dan menemukan kembali data melalui alamat fisik berbasis biner atau heksadesimal', 'representasi ini bersifat teknis dan tidak langsung terlihat oleh pengguna', 'representasi logis merupakan lapisan abstraksi yang memudahkan pengguna dalam mengakses data melalui struktur folder dan nama file', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx sedangkan contoh representasi fisik adalah alamat data dalam bentuk rangkaian bit']",5.0,5.0,10.0,A,5
222,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010157']","['representasi fisik dalam konsep penyimpanan berkas menjelaskan bagaimana data direkam dan diakses secara internal oleh komputer menggunakan alamat fisik pada media penyimpanan yang dinyatakan dalam bilangan biner atau heksadesimal', 'representasi logis menjelaskan bagaimana lokasi data tersebut dipresentasikan kepada pengguna agar mudah dipahami dan dikelola', 'misalnya pengguna mengakses file melalui jalur c adalah atau kuliah atau materi atau namafile docx sementara sistem mengakses file yang sama melalui alamat fisik tertentu dalam bentuk biner']",5.0,5.0,10.0,A,5
223,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010158']","['representasi fisik adalah cara komputer menyimpan data di media penyimpanan seperti hard disk atau ssd', 'data disimpan pada lokasi tertentu yang diatur oleh sistem', 'representasi logis adalah cara pengguna melihat dan mengakses data melalui folder dan nama file']",3.5,5.0,7.0,B,4
224,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010159']","['representasi fisik berkaitan dengan penyimpanan data secara nyata di perangkat keras komputer', 'sistem menggunakan alamat tertentu untuk menyimpan dan mengambil data', 'representasi logis adalah tampilan penyimpanan yang dibuat agar pengguna mudah mengelola data']",3.7,5.0,7.4,B,4
225,4,['apakah representasi fisik dalam konsep penyimpanan berkas di komputer dan apa pula yang dimaksudkan dengan representasi logis dalam penjelasan kedua konsep penyimpanan ini berikan contoh contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik'],"['representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk pc laptop maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal', 'representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data sedangkan representasi logis ditujukan untuk manusia sebagai pengguna', 'representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur drive folder dan subfolder', 'contoh representasi logis adalah c adalah atau lectures atau genap24 atau namafile docx', 'sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010160']","['representasi fisik adalah bentuk penyimpanan data yang digunakan oleh komputer pada media penyimpanan', 'representasi ini tidak langsung terlihat oleh pengguna', 'representasi logis adalah struktur penyimpanan yang ditampilkan kepada pengguna berupa folder dan file', 'contohnya pengguna melihat file berada di folder c adalah atau data sedangkan komputer menyimpannya dalam bentuk alamat internal']",3.5,5.0,7.0,B,4
