IDJwb,IDPSJ,questions,answerKeys,answer,raw_grade,max_grade,grade,labela,label
193,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010128",Penyimpanan fisik melibatkan struktur data di perangkat keras seperti SSD atau HDD. Penyimpanan logis adalah representasi data yang ditangani oleh pengguna melalui antarmuka sistem operasi.,3,5,6.00,C,3
194,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010129","Representasi fisik mencakup informasi tentang di mana data disimpan secara fisik, sedangkan representasi logis adalah bagaimana data tersebut diorganisir dan diakses oleh pengguna dalam bentuk yang lebih mudah dipahami.",3,5,6.00,C,3
195,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010130",penyimpanan logis adalah dokumen yang disimpan sebagai satu unit lengkap dalam folder tertentu pada drive tertentu. Penyimpanan fisik adalah komputer yang mengakses dokumen tertentu yang disimpan pada media penyimpanan mengunakan lokasi atau lokasi fisik,3.5,5,7.00,B,4
196,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010131","Representasi fisik yaitu komputer mengakses dokumen tertentu yang disimpan pada media penyimpanan menggunakan lokasi atau lokasi fisiknya. (contohnya: flashdisk, Hard Drive). Resprentasi logis yaitu individu melihat dokumen yang disimpan sebagai satu unit lengkap dalam folder tertentu pada drive tertentu. (contohnya: ram,cache)",3.5,5,7.00,B,4
197,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010132","Representasi Fisik : Komputer mengakses dokumen tertentu yang disimpan pada media penyimpanan menggunakan lokasi atau lokasi fisiknya. Struktur fisik sebenarnya dari data memori (urutan bit dalam memori). Berbentuk bit-bit dalam memori yang hanya dapat dibaca oleh komputer. Representasi Logis : Individu dapat melihat dokumen yang disimpan sebagai satu unit lengkap dalam folder tertentu pada drive tertentu. Cara abstrak agar program computer dapat mengakses data. Berbentuk folder-folder yang berisi file, dapat terlihat langsung pada layar monitor oleh pengguna.",5,5,10.00,A,5
198,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010133","Representasi fisik merupakan penyimpanan data di dalam hardware atau alat penyimpanan yang berbentuk fisik contoh harddisk. Representasi Logika, menggunakan logika formal untuk merepresentasikan basis pengetahuan untuk menyimpan data contoh cloud. alamat logis memberikan lebih banyak kebebasan untuk aplikasi. Jika alamat fisik hard coded, maka keberhasilan program akan sangat bergantung pada mesin komputer fisik, tersedia RAM alamat.",2,5,4.00,D,2
199,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010134","representasi fisik adalah penyimpanan yang berwujud fisik, contoh : Hard Drive, Flash Drive, RAM. Sedangkan representasi logis adalah yang ada di dalam system pemrosesan contohnya : Cache, Rom ; Representasi fisik bisa diubah dan berwujud fisik, representasi logis tidak dapat diubah.",2,5,4.00,D,2
200,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010135",A. Representasi fisik adalah spesifikasi dari struktur data sesuai dengan implementasinya dalam memori komputer dan kesediaan dalam Bahasa pemrograman. B. Representasi jenis ini menggunakan ekspresi ekspresi dalam logika formal untuk merepresentasikan basis pengetahuan. Pada dasarnya proses logika adalah proses membentuk kesimpulan dan menarik suatu interensi berdasarkan fakta yang telah ada,2,5,4.00,D,2
201,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010136","Penyimpanan fisik adalah media penyimpanan yang menyimpan data secara fisik, contohnya hard disk. Penyimpanan logis adalah cara melihat data yang tersimpan dalam struktur folder tertentu.",3.5,5,7.00,B,4
202,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010137","Representasi fisik adalah lokasi data di perangkat penyimpanan menggunakan alamat fisik. Representasi logis adalah cara pengguna mengakses data melalui struktur folder, seperti C:/dokumen/namafile.txt.",3.5,5,7.00,B,4
203,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010138",Penyimpanan logis adalah cara pengguna melihat dokumen di dalam folder tertentu pada drive. Penyimpanan fisik adalah lokasi data di media penyimpanan seperti hard drive atau flashdisk.,3.5,5,7.00,B,4
204,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010139",Representasi fisik dalam konsep penyimpanan berkas adalah penyimpanan yang bersifat fisik dan dapat digunakan untuk menyimpan berkas berkas dalam jangka Panjang contohnnya hardis dan memori internal.,1,5,2.00,E,1
205,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010140",A. Representasi fisik adalah spesifikasi dari struktur data sesuai dengan implementasinya dalam memori komputer dan kesediaan dalam Bahasa pemrograman. B. Representasi jenis ini menggunakan ekspresi-ekspresi dalam logika formal untuk merepresentasikan basis pengetahuan. Pada dasarnya proses logika adalah proses membentuk kesimpulan dan menarik suatu inferensi berdasarkan fakta yang telah ada. Penyimpanan Logis :,2,5,4.00,D,2
206,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010141","Representasi fisik dalam konsep penyimpanan berkas adalah penyimpanan yang bersifat yang dapat digunakan untuk menyimpan berkas dalam jangka Panjang Contohnya adalah Harddisk dan memori internal. Sedangkan Representasi logis adalah penyimpanan yang bersifat volatile, dan dapat di ubah kapan saja. Contohnya adalah RAM dan penyimpanan Cache di komputer.",2.5,5,5.00,D,2
207,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010142","Representasi fisik dalam konsep penyimpanan berkas di komputer merujuk pada bagaimana data benar-benar disimpan pada perangkat keras, seperti lokasi data pada blok-blok di hard drive atau SSD. Contohnya, data disimpan dalam sektor dan track pada disk. Representasi logis, sebaliknya, adalah bagaimana sistem operasi dan pengguna melihat dan mengelola data melalui struktur file dan direktori. Misalnya, saat kita melihat file ""document.txt"" dalam folder di desktop, itu adalah representasi logis, sementara secara fisik, file tersebut dipecah menjadi blok-blok data tersebar di berbagai lokasi pada disk. Perbedaan utamanya adalah bahwa representasi fisik berhubungan dengan bagaimana data tersimpan secara fisik, sementara representasi logis adalah tampilan abstraksi yang memudahkan akses dan manajemen data.",5,5,10.00,A,5
208,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010143","Representasi fisik adalah cara sistem komputer menyimpan dan mengakses data secara nyata di media penyimpanan, seperti hard disk atau SSD, menggunakan alamat biner atau heksadesimal. Representasi ini tidak ditujukan untuk pengguna. Sebaliknya, representasi logis adalah cara penyimpanan yang ditampilkan kepada pengguna dalam bentuk drive, folder, dan nama file. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx, sedangkan contoh representasi fisik adalah alamat data dalam bentuk biner seperti 10010111",5,5,10.00,A,5
209,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010144","Representasi fisik dalam penyimpanan berkas adalah pengkodean lokasi data di media penyimpanan komputer menggunakan bilangan biner atau heksadesimal agar sistem dapat menyimpan dan menemukan kembali data. Representasi logis merupakan tampilan penyimpanan yang mudah dipahami manusia, berupa struktur folder dan nama file. Contohnya, pengguna melihat file pada D:/data/laporan.pdf, sedangkan komputer mengaksesnya melalui alamat fisik tertentu dalam bentuk biner.",4.5,5,9.00,A,5
210,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010145","Representasi fisik adalah cara komputer merepresentasikan lokasi data secara internal menggunakan alamat memori atau sektor hard disk yang dinyatakan dalam bilangan biner atau heksadesimal. Representasi logis adalah cara manusia memahami lokasi data melalui nama drive, folder, dan file. Contoh logis adalah C:/documents/tugas.docx, sedangkan contoh fisik adalah alamat penyimpanan berupa rangkaian bit seperti 10010111",5,5,10.00,A,5
211,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010146","Dalam sistem komputer, representasi fisik menunjukkan lokasi data sebenarnya di media penyimpanan dengan alamat numerik berbasis biner atau heksadesimal. Representasi ini digunakan oleh sistem, bukan oleh pengguna. Representasi logis ditujukan untuk pengguna agar mudah mengelola data, misalnya dengan folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx, sedangkan representasi fisik berupa kode biner tertentu.",5,5,10.00,A,5
212,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010147","Representasi fisik adalah mekanisme penyimpanan data yang digunakan oleh sistem komputer, yaitu berupa alamat fisik di hard disk atau SSD yang direpresentasikan dengan bilangan biner atau heksadesimal. Representasi logis adalah cara pengguna melihat dan mengakses data melalui struktur direktori. Sebagai contoh, pengguna membuka file di C:/kuliah/materi.docx, sementara sistem mengakses alamat fisiknya seperti 10110101",4.5,5,9.00,A,5
213,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010148","epresentasi fisik menggambarkan bagaimana data disimpan secara nyata di media penyimpanan dengan alamat yang dikodekan dalam bentuk biner atau heksadesimal. Representasi logis menggambarkan bagaimana data tersebut ditampilkan kepada pengguna dalam bentuk jalur file yang terstruktur. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx, sedangkan contoh representasi fisik adalah alamat data berupa bit-bit biner.",5,5,10.00,A,5
214,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010149","Representasi fisik adalah sistem pengalamatan data yang digunakan komputer untuk menyimpan dan menemukan data di media penyimpanan, biasanya menggunakan bilangan biner atau heksadesimal. Representasi logis adalah tampilan penyimpanan yang dirancang agar mudah dipahami oleh manusia. Contoh logis adalah folder dan file seperti D:/foto/liburan.jpg, sedangkan contoh fisik adalah alamat penyimpanan dalam bentuk kode biner.",5,5,10.00,A,5
215,04,"Apakah representasi fisik dalam konsep penyimpanan berkas di komputer ? Dan apa pula yang dimaksudkan dengan representasi logis ? Dalam penjelasan kedua konsep penyimpanan ini, berikan contoh-contoh yang memperjelas perbedaan antara penyimpanan logis dan penyimpanan fisik!","Representasi fisik adalah cara pengkodean alamat yang menunjukkan lokasi data di hard disk PC, Laptop, maupun ponsel kita yang direpresentasikan dengan menggunakan bilangan biner atau hexadesimal. Representasi fisik dibuat untuk sistem komputer dalam menyimpan dan menemukan kembali sebuah data, sedangkan representasi logis ditujukan untuk manusia sebagai pengguna. Representasi logis juga menunjukkan lokasi data disimpan dengan menggunakan nama jalur (drive), folder dan subfolder. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx. Sedangkan contoh representasi fisik dengan bilangan biner 8 bit adalah 10010150","Dalam penyimpanan berkas, representasi fisik mengacu pada lokasi data yang sebenarnya di media penyimpanan yang dinyatakan dengan alamat biner atau heksadesimal. Representasi logis mengacu pada struktur penyimpanan yang dilihat pengguna, seperti drive, folder, dan nama file. Contoh representasi logis adalah C:/lectures/genap24/namafile.docx, sedangkan contoh fisiknya adalah alamat biner 10010111.",5,5,10.00,A,5
