IDJwb,IDPSJ,questions,answerKeys,answer,raw_grade,max_grade,grade,labela,label,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,grade_num,is_synthetic,inverse_words
379,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1. Masa Prakatekumenat:

Masa pemurnian motivasi calon.

2. Masa Katekumenat:

Masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat.

3. Masa persiapan terakhir:

Persiapan terakhir yakni masa khusus untuk mempersiapkan diri menerima sakramen-sakramen inisiasi dan diakhiri dengan tahap ketiga Upacara penerimaan sakramen baptis.

4. Masa Mistagogi:

Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis.","33,33","33,33","10,00",A,5,,,,,,,,,,,,,,,,10,0,
380,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1. Masa prakatekumenat,diakhiri dengan tahap pertama,yaitu masa permunian calon

2. Masa katekumenat,diakhiri dengan tahap kedua,yaitu upacara pengajaran dan pembinaan iman serta latihan hirup dalam jemaat

3. Masa persiapan terakhir,diakhiri dengan tahap ketiga, yaitu upacara penerimaan Sakramen Baptis

4. Masa mitagogi,yaitu masa pembinaan upacara setelah seseorang menerima Sakramen Baptis","33,33","33,33","10,00",A,5,,,,,,,,,,,,,,,,10,0,
381,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1.masa prakatekumenat

2.masa katekumenat

3. masa persiapan akhir

4. masa mistagogi","23,33","33,33","7,00",C,3,,,,,,,,,,,,,,,,7,0,
382,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1. Katekumenat

2. Prakatekumenat","13,33","33,33","4,00",E,1,,,,,,,,,,,,,,,,4,0,
383,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1. Masa Prakatekumenat : Masa pembinaan motivasi calon

2. Masa Katekumenat : Masa pengajaran dan pembinaan iman serta latihan hidup

3. Masa Persiapan Terakhir yakni masa khusus untuk mempersiapkan diri menerima sakramen - sakramen inisiasi

4. Masa Mistagogi : Masa pembinaan lanjutan setelah menerima sakramen baptis","33,33","33,33","10,00",A,5,,,,,,,,,,,,,,,,10,0,
384,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","Masa Prakatekumenat : masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat.

Masa Katekumen : masa pemurnian motivasi calon.

Masa Persiapan Terakhir : masa khusus untuk mempersiapkan diri menerima sakramen-sakramen inisiasi dan diakhiri dengan tahap ketiga upacara penerimaan Sakramen Babtis.

Masa mistagogi : Masa pembinaan lanjutan setelah seseorang menerima Sakramen Babtis.","33,33","33,33","10,00",A,5,,,,,,,,,,,,,,,,10,0,
385,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","-Masa prakatekumat
-Masa katekumen

-Masa pelajaran terakhir

-mistagogi","16,67","33,33","5,00",D,2,,,,,,,,,,,,,,,,5,0,
386,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1.Pra-katekumenat motivasi dalam pembelajaran lalu diadakan upacara kesatu untuk menjadi

2. katekumenat sebagai pembelajaraan dalam pembatisan yang diakhiri dengan upacara ke 2

3. persiapan akhir yang dimana seseorang di baptis setelah melalui masa pembelajaraan katekumenat

4. mistagogi sebagai bimbingan akhir setelah seseorang di baptis","30,00","33,33","9,00",A,5,,,,,,,,,,,,,,,,9,0,
387,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","percaya kepada Kristus sebagai penyelamat, mengikuti pelajaran calon katekumen sekurang-kurangnya satu tahun, mengucapkan pengakuan imam pada waktu pembaptisan.","10,00","33,33","3,00",E,1,,,,,,,,,,,,,,,,3,0,
388,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","-pertama : masa prakatekumenat

selalu diakhiri dengan upacara tahap pertama. lalu pelantikkan ketakumen

-kedua ; masa kutekumenat

selalu diakhiri dengan upacara tahap kedua. lalu pengakuan terhadap kutakumenat terpilih

-ketiga : masa persiapan terakhir

selalu diakhiri dengan upacara ketiga. lalu upacara penerimaan sakramen baptis

-keempat: masa mistagogi

masa pembinaan lanjutan setelah seorang menerima sakramen baptis","33,33","33,33","10,00",A,5,,,,,,,,,,,,,,,,10,0,
389,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","siap akan melayani tuhan dengan segenap hati,harus selalu imgat akan tanggung jawab di gereja.

bersiap untuk bertobat dan tidak melakukan hal yang bedosa.

dan harus berusia 17 Tahun agar bisa membedakan mana yang baik dan mana yang tidak baik.

dan harus terlebih dahulu menjalani katekese.","10,00","33,33","3,00",E,1,,,,,,,,,,,,,,,,3,0,
390,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","a) masa prakatekumen: masa dimana memotivasi kan calon,yang pertama diakhiri dengan upacara

b) masa katakumen masa yang dimana pengajaran karunia roh kudus

c) masa persiapan","16,67","33,33","5,00",D,2,,,,,,,,,,,,,,,,5,0,
391,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","Masa permunian calon

Masa pengajaran dan pembinaan iman serta latihan hidup dalam  jemaat

Masa pembinaan lanjutan setelah seseorang melakukan baptis

Persiapan terakhir yakni masa khusus untuk mempersiapkan diri menerima sakramen-sakramen dan diakhiri dengan menerima upacara terakhir penerimaan sakramen baptis","20,00","33,33","6,00",C,3,,,,,,,,,,,,,,,,6,0,
392,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1. masa pengajaran atau pembinaan

2. masa pemurnian motivasi calon

3. masa pembinaan lanjut setelah di babtis

4. persiapan terahir masa khusus untuk mempersiapkan diri menerima sakramen sakramen inisiasi dan di akhiri dengan upacara menerima sakramen baptis","26,67","33,33","8,00",B,4,,,,,,,,,,,,,,,,8,0,
393,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1. Ada masa pemurnian motivasi calon baptis (diakhiri dengan upacara pertama)

2. Masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat (biasanya pertemuan akan dilakukan beberapa kali, diakhiri dengan upacara kedua).

3. Masa persiapan terakhir (persiapan menerima sakramen-sakramen inisiasi dan diakhiri Upacara Ketiga yaitu penerimaan sakramen baptis).

4. Pembinaan lanjutan setelah menerima baptis.","26,67","33,33","8,00",B,4,,,,,,,,,,,,,,,,8,0,
394,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1. Masa prakatekumenat. Diakhiri dengan upacara tahap pertama dan peneguhan/motivasi calon baptis

2. Masa katekumenat. Diakhiri dengan upacara tahap kedua dan masa pembelajaran dan pelantikan calon baptis

3. Masa persiapan terakhir. Diakhiri dengan upacara tahap terakhir dan siap menerima sakramen baptis

4. Masa mistagogi. Merupakan pembinaan lanjutan setelah menerima sakramen baptis","33,33","33,33","10,00",A,5,,,,,,,,,,,,,,,,10,0,
395,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1)Prakatekumenat

diakhiri upacara pertama dan memotivasi calon katekumenat.

2)Katekumenat

diakhiri upacara kedua. Katekumenat adalah masa pembinaan sebelum di baptis.

3)Masa persiapan terakhir

Diakhiri upacara ketiga dan dilakukannya pembaptisan.

4)Mistagogi

masa pembinaan lanjutan setelah di baptis.","33,33","33,33","10,00",A,5,,,,,,,,,,,,,,,,10,0,
396,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","Proses tahapan-tahapan babtis dewasa :

- masa praktekumenat : pemurnian motivasi calon

- masa katekumenat :  calon babtisan

- masa persiapan terakhir

- mistagogi : pembelajaran tentang kehidupan setelah sakramen babtis","26,67","33,33","8,00",B,4,,,,,,,,,,,,,,,,8,0,
397,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","Tahap tahapan;
Proses prakatekumenat: Pembersihan motivasi calon
Proses katekumenat: Masa pengajaran iman serta latihan hidup dalam jemaat
Proses persiapan terakhir: pembinaan terakhir dalam penerimaan sakramen babtis
Proses mistogogi: masa pembelajaran lanjutan dalam penerimaan sakramen babtis","33,33","33,33","10,00",A,5,,,,,,,,,,,,,,,,10,0,
398,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","* Masa Prakatekumen
	* Masa katekumenat
	* Masa Pembinaan selanjutnya","16,67","33,33","5,00",D,2,,,,,,,,,,,,,,,,5,0,
399,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1. MASA PRATAKUMENAT DIAKHIRI DENGAN UPACARA TAHAP PERTAMA YAITU PELANTIKAN KATAKUMENAT

2. MASA KATAKUMENAT DIAKHIRI DENGAN UPACARA TAHAP KEDUA YAITU UPACARA PENGUKUHAN KATAKUMENAT TERPILIH

3. MASA PERSIAPAN TERAKHIR DIAKHIRI DENGAN UPACARA TAHAP KETIGA YAITU PENERIMAAN SAKRAMEN BAPTIS

4. MASA MISTAGOGI YAITU LANJUTAN PEMBINAAN KETIKA SESEORANG SUDAH MENERIMA SAKRAMEN BAPTIS","26,67","33,33","8,00",B,4,,,,,,,,,,,,,,,,8,0,
400,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","masa pratekumenat merupakan tahapan pertama 

masa katekumenat merupakan tahapan kedua

masa misgogi

masa tobat","23,33","33,33","7,00",C,3,,,,,,,,,,,,,,,,7,0,
401,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1.katakument

2.paratukument","10,00","33,33","3,00",E,1,,,,,,,,,,,,,,,,3,0,
402,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1. Masa prakatekumenat: masa pemurnian motivasi calon.

2. Masa katekumenat: masa pembinaan lanjutan setelah seseorang menerima sakramen baptis.

3. Masa persiapan terakhir: masa khusus untuk mempersiapkan diri menerima sakramen–sakramen inisiasi dan diakhiri dengan tahap ketiga Upacara peneriman sakramen baptis.

4. Masa mistagogi: Upacara tahap keempat, sudah menerima sakramen baptis.","33,33","33,33","10,00",A,5,,,,,,,,,,,,,,,,10,0,
403,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1. Masa Pratakumenat : masa pemurnian motivasi calon

2. Masa Katakumenat : masa pengajaran iman serta latihan hidup dalam jemaat yang diselesaikan dengan cara upacara pengukuhan

3. Masa Persiapan Terakhir : masa khusus mempersiapkan diri menerima sakramen baptis dan diakhiri dengan tahap ketiga upacara penerimaan baptis

4. Masa Mitagogi : masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","33,33","33,33","10,00",A,5,,,,,,,,,,,,,,,,10,0,
404,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1) Masa Prakatekumenat yaitu Masa permurnian motivasi calon

2) Katekumenat yaitu masa pembinaan/pengajaran iman serta latihan hidup dalam jemaat.

3)Persiapan terakhir yakni masa khusus untuk mempersiapkan diri menerima sakramen–sakramen inisiasi dan diakhiri dengan tahap ketiga Upacara peneriman sakramen baptis.

4) Masa Mistagogi yaitu masa Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","33,33","33,33","10,00",A,5,,,,,,,,,,,,,,,,10,0,
405,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","tahapan-tahapan ynag harus dilalui dalam proses baptis dewasa adalah

prakatekumenat

katekumenat

dan lain-lain

maaf pak/bu saya lupa","16,67","33,33","5,00",D,2,,,,,,,,,,,,,,,,5,0,
406,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","* Masa prakatekumenat : Masa pemurnian motivasi calon.
	* Masa katekumenat : Masa pengajaran/pembinaan iman serta pelatihan hidup untuk calon.

	* Masa persiapan terakhir : Persiapan sebelum calon menerima sakramen inisiasi.

	* Masa mistagogi : Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis.","33,33","33,33","10,00",A,5,,,,,,,,,,,,,,,,10,0,
407,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","A) Tahap Calon Katekumen (_selama 2 bulan_)

B) Tahap Katekumen Calon Baptis (_selama 8 bulan_)

C) Tahap Calon Baptis Terpilih (_selama 2 bulan_)","16,67","33,33","5,00",D,2,,,,,,,,,,,,,,,,5,0,
408,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","-Masa prakatekumenat: masa persiapan

-Masa katekumenat: masa persiapan terakhir

-Masa upacara penerimaan sakramen baptis: masa dimana calon baptis melakukan upacara untuk menerima sakramen babtis

-Masa mistagogi: masa lanjutan setelah penerimaan sakramen baptis","26,67","33,33","8,00",B,4,,,,,,,,,,,,,,,,8,0,
409,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis",masa katekumenat : masa pemurnian motivasi calon,"13,33","33,33","4,00",E,1,,,,,,,,,,,,,,,,4,0,
410,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","tahapan tahapan dalam proses baptis dewasa antara lain
1.masa pratekumenat diakhiri dengan upacara tahap pertama yaitu pemilihan katekumen
2.masa katekumenat diakhiri dengan upacara tahap kedua yaitu pengukuhan katekumenat terpilih
3.masa persiapan terakhir di akhiri dengan upacara tahap ketiga yaitu persiapan penerimaan sakramen baptis
4.masa mistagogi di akhiri dengan upacara tahap keempat yaitu penerimaan sakramen baptis atau seseorang menerima sakramen baptis","30,00","33,33","9,00",A,5,,,,,,,,,,,,,,,,9,0,
411,8,Dalam pembelajaran agama kelas 8 kita mempelajari dan memahami tantang Sakramen Baptis. Jelaskanlah tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa!,"1. Masa Prakatekumenat

- Masa pemurnian motivasi calon

2. Masa Katekumenat

- masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat

3. Masa persiapan akhir

- Masa khusus untuk mempersiapkan diri menerima sakramen

4. Masa Mistagogi

- Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis","1.tahapan pertama yaitu masa katakumenat

2.tahapan kedua masa prakatakumenat

3.","13,33","33,33","4,00",E,1,,,,,,,,,,,,,,,,4,0,
