IDJwb,IDPSJ,grade,psj_idx,grade_num,is_synthetic,inverse_words
320,7,10,6,10,0,System call dapat dikatakan sebagai sebuah jembatan yang menghubungkan antara sistem operasi dan program aplikasi. Ketika sebuah program ingin menggunakan layanan dari OS maka layanan itu dipanggil melalui system call. Biasanya pemanggilan system call oleh aplikasi ini melalui API atau Application Programming Interface.
321,7,10,6,10,0,"system call adalah peristiwa pemanggilan layanan OS oleh aplikasi untuk menjalankannya user program : API (Win32 API di windows, POSIX API untuk unix, Java API untuk JVM, dll)"
322,7,5,6,5,0,System Call adalah sebuah instruksi yang mirip dengan instruksi 'add' atau 'jump'. System Call pada level user akan meminta pada sistem operasi untuk menjalankan sesuatu untuknya. System Call akan melakukan call function pada kernel untuk dapat berkomunikasi dengan sistem operasi.
323,7,5,6,5,0,"system call adalah cara sebuah program atau perangkat lunak pada level user untuk meminta service dari kernel sistem operasi. Contoh disaat kita membutuhkan atribut dari sebuah dari suatu folder, disaat proses penggunaan memori pada os, dan program."
324,7,7,6,7,0,System call terjadi Ketika program aplikasi memanggil service dari sistem operasi.
325,7,7,6,7,0,System call adalah situasi dimana layanan dari sistem operasi dipanggil oleh program.
326,7,8,6,8,0,System call adalah kondisi di mana sebuah program memanggil layanan yang disediakan oleh sistem operasi untuk menjalankan suatu tugas. Hal ini terjadi ketika program aplikasi memerlukan bantuan dari sistem operasi.
327,7,8,6,8,0,System call terjadi ketika sebuah program aplikasi meminta layanan dari sistem operasi. Ini adalah kondisi di mana program memanggil fungsi yang disediakan oleh sistem operasi untuk menjalankan tugas tertentu.
328,7,8,6,8,0,System call terjadi ketika program aplikasi meminta layanan dari sistem operasi. Ini merupakan kondisi di mana sebuah program mengakses fungsi atau layanan yang disediakan oleh sistem operasi.
329,7,6,6,6,0,System call terjadi Ketika aplikasi memanggil API milik sistem operasi.
330,7,6,6,6,0,System call terjadi ketika aplikasi mengakses API yang disediakan oleh sistem operasi.
331,7,6,6,6,0,System call muncul ketika aplikasi menggunakan API yang disediakan oleh sistem operasi.
332,7,6,6,6,0,System call terjadi saat aplikasi melakukan panggilan ke API yang dimiliki oleh sistem operasi.
333,7,6,6,6,0,System call terjadi ketika aplikasi melakukan permintaan ke API yang dimiliki oleh sistem operasi. Aplikasi berinteraksi dengan sistem operasi melalui system call.
334,8,10,7,10,0,1. Masa Prakatekumenat - Masa pemurnian motivasi calon 2. Masa Katekumenat - masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat 3. Masa persiapan akhir - Masa khusus untuk mempersiapkan diri menerima sakramen 4. Masa Mistagogi - Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis
335,8,8,7,8,0,-Masa Prakatekumenat (Masa pemurnian motivasi calon) -Masa Katekumenat (Masa pembinaan) -Masa Mistatogi (Masa persiapan seseorang untuk memperoleh sakramen inisiasi) -Masa pembinaan lanjutan (Masa pembinaan lanjutan setelah menerima sakramen)
336,8,10,7,10,0,"_ DALAM PROSES PEMBAPTISAN DEWASA ADA TAHAPAN-TAHAPAN YANG HARUS DILALUI YAKNI:_ _A) MASA PRAKATEKUMENAT: _masa pemurnian motivasi calon, yang diakhiri dengan upacara tahap pertama: pelantikan menjadi katekumen. _B) MASA KATEKUMENAT: _masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat yang diakhiri dengan upacara tahap kedua: Upacara pengukuhan Katekumenat terpilih, _C) MASA PERSIAPAN_ _TERAKHIR_ : yakni masa khusus untuk mempersiapkan diri menerima sakramen–sakramen inisiasi dan diakhiri dengan tahap ketiga Upacara peneriman sakramen baptis. _D) MASA MISTAGOGI_: masa pembinaan lanjutan setelah seseorang menerima sakramen baptis."
337,8,10,7,10,0,1. Masa Pra-Katekumenat = Masa pemurnian motivasi calon baptis 2. Masa Katekumenat = Masa pembinaan dan pengajaran iman serta latihan hidup dalam jemaat 3. Masa perispan terakhir merupakan masa khusus untuk mempersiapkan diri menerima sakramen inisiasi dan tahapan ini diakhiri dengan upacara pembaptisan 4. Masa mistagogi = Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis
338,8,10,7,10,0,1. Masa Prakatekumenat : Masa pemurnian motivasi calon. 2. Masa Katekumenat : Masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat. 3. Persiapan Terakhir : Masa khusus untuk mempersiapkan diri menerima sakramen-sakramen inisiasi dan diakhiri dengan upacara tahap ke tiga yaitu upacara penerimaan Sakramen Baptis. 4. Masa Mistagogi : Masa pembinaan lanjutan setelah seorang menerima Sakramen Baptis.
339,8,10,7,10,0,Dalam baptis dewasa terdapat beberapa tahapan 1. Masa pratekumenat diakhiri dengan upacara tahap pertama yaitu pelantikan katekumen 2. Masa katekumenat diakhiri dengan upacara tahap kedua yaitu upacara pengukuhan katekumenat terpilih 3. Masa persiapan terakhir diakhiri dengan upacara tahap ketiga yaitu penerimaan sakramen baptis 4. Masa mistagogi yaitu masa pembinaan lanjutan setelah seseorang menerima sakramen baptis
340,8,10,7,10,0,"1. Masa prakatekumenat, diakhiri dengan upacara tahap pertama, yaitu pelantikan menjadi katekumen. 2. Masa katekumen, diakhiri dengan upacara kedua, yaitu pengukuhan katekumen terpilih. 3. Masa persiapan terakhir, diakhiri dengan upacara ketiga, yaitu upacara penerimaan sakramen baptis. 4. Masa mistagogi, yaitu masa pembinaan lanjutan setelah seseorang menerima sakramen baptis."
341,8,10,7,10,0,1. Masa Prakatekumenat Diakhiri dengan upacara tahap pertama. Pelantikan katekumen. 2. Masa Katekumenat Diakhiri dengan upacara tahap kedua. Pengukuhan terhadap katekumenat terpilih. 3. Masa Persiapan Akhir Diakhiri dengan upacara tahap ketiga. Penerimaan sakramen Baptis. 4. Masa Mistatogi Masa pembinaan lanjut bagi yang sudah menerimanya.
342,8,10,7,10,0,1.Masa Pratakumenat : masa permuniaan motivasi calon 2.Masa Katakumenat : masa pengajaran dan juga pembinaan iman serta latihan hidup dalam jemaat 3.Masa persiapan terakhir yaitu masa khusus untuk mempersiapkan diri menerima sakramen inisiasi dan diakhiri dengan penerimaan babtis 4.Masa Mistagogi : masa pembinaan lanjutan setelah seseorang menerima sakramen baptis
343,8,8,7,8,0,tahapan-tahapan yang harus dilalui dalam proses baptis dewasa di antaranya: 1) masa prakatekumenat: masa pemurnian motivasi calon 2) masa katekumenat: persiapan terakhir yakni masa khusus untuk mempersiapkan diri menerima sakramen-sakramen inisiasi 3) masa pembinaan lanjutan setelah sesorang menerima sakramen baptis 4) masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat
344,8,10,7,10,0,Masa Prakatekumenat ; masa pemurnian motivasi calon Masa Katekumenat ; masa pengajaran dan pembinaan iman dan latihan hidup dalam jemaat Masa persiapan terakhir ; masa khusus untuk mempersiapan diri menerima sakramen inisiasi dan diakhiri dengan penerimaan baptis Masa mistagogi ; masa pembinaan lanjutan setelah seorang menerima sakramen baptis
345,8,8,7,8,0,"1. Masa Prekatekumenat yaitu masa pengajaran pertama, yaitu mendapatkan pengajaran dan pembinaan iman. 2. Masa Katekumenat yaitu masa pembinaan kedua, yaitu lanjutan setelah menlakukan Sakramen Baptis. 3. Masa Mistagogi yaitu masa tahap ketiga terakhir, yaitu masa khusus menerima Sakramen-sakramen inisiasi dan diakahiri dengan Sakramen Baptis."
346,8,10,7,10,0,1. Prakatekumenat Masa prakatekumenat adalah masa pemurniaan motivasi calon. 2. Katekumenat Masa Katekumenat adalah masa pembinaan lanjutan seseorang menerima Sakramen Babtis. 3. Masa Persiapan Terakhir Masa khusus untuk mempersiapkan diri menerima sakramen inisiasi dan diakhiri dengan tahap ketiga penerimaan sakramen Babtis. 4. Masa Mistagogi Masa pengajaran iman dan pembinaan Imam serta latihan hidup dalam jemaat.
347,8,10,7,10,0,Masa prakatekumenat : masa permunian motivasi calon Masa katemumenat : masa pengajaran dan pembinaan iman serta latihan hidup Masa persiapan terakhir : masa Khusus untuk mempersiapkan diri menerima sakramen inisiasi Masa mistagogi : masa pembinaan lanjutan setelah seseorang menerima sakramen baptis
348,8,5,7,5,0,Masa Pra-Katekumenat (1 Bulan) Masa Katekumenat (3 Bulan) Masa Katekis (2 Bulan) Penerimaan Sakramen Babtis (1 Bulan) Masa pembinaan lanjutan setelah menerima sakramen Baptis (5 Bulan)
349,8,3,7,3,0,"edukasi, didoakan, dicelupin"
350,8,5,7,5,0,tahapan proses yang harus dilalui sebelum babtis dewasa adalah mengikuti masa katelumenat yakni masa katekumenat masa terakhir yakni masa khusus mempersiapkan diri untuk menerima sakramen-sakramen inisiasi dan tahap ketiga upacara sakramen upacara pembaptisan.
351,8,10,7,10,0,"1) Masa Prakatekumenat Masa ini adalah masa upacara tahap awal, yaitu pelantikan menjadi katekumen atau calon baptis 2) Masa Katekumenat Masa ini adalah masa pembinaan dan pelajaran untuk calon baptis 3) Masa Persiapan terakhir Masa ini adalah diterimanya upacara terakhir, yaitu penerimaan Sakramen Baptis 4) Masa Mistagogi Masa ini adalah masa pembinaan lanjutan setelah menerima Sakramen Baptis"
352,8,10,7,10,0,masa prakatekumenat : masa pemurnian motivasi calon yang diakhiri dengan thap katekumen masa katekumenat : masa pengajaran iman serta latihan hidup jemaat yang di selesaikan upacara pengukuhan ketekumenat yang terpilih masa persiapan terakhir : masa yang khusus mempersiapkan diri menerima sakramen babtis masa mistagogi : masa pengajaran/pembinaan lanjuta setelah menerima sakramen babtis
353,8,8,7,8,0,* Masa Prakatekumenat : Masa pemurnian calon * Masa Katekumenat : Masa pengajaran iman serta latihan hidup dalam jemaat * Masa Persiapan Terakhir : Masa khusus untuk mempersiapkan diri menerima sakramen Baptis * Upacara Terakhir : Upacara penerimaan sakramen Baptis
354,8,10,7,10,0,a)Masa Prakatekumenat: masa pemurnian motivasi calon b) Masa Katekumenat: masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat c)Masa persiapan terakhir yakni masa khusus untuk mempersiapkan diri menerima sakramen–sakramen inisiasi d) Masa mistagogi: masa pembinaan lanjutan setelah seseorang menerima sakramen baptis.
355,8,9,7,9,0,"MASA PRAKATEKUMENAT: Masa dimana calon baptis dimurnikan Masa katekumenat: Masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat Masa persiapan terakhir: Masa khusus untuk mempersiapkan diri menerima sakramen sakramen inisiasi dan di akhiri dengan upacara ketiga, yaitu penerimaan sakramen baptis Masa mistagogi: Masa pembinaan lanjutan seseorang setelah penerimaan sakrmen baptis"
356,8,7,7,7,0,-Masa Pratakumenat Masa pemurnian motivasi calon -Masa katekumenat Masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat -Masa Akhir Masa pembinaan lanjutan setelah seseorang menerima sakramen -Masa lingutinal Peresiapan terakhir yakni masa khusus untuk mempersiapkan diri untuk menerima sakramen-sakramen inisasi dan diakhiri dengan tahap ketiga Upacara menerimaan sakramen baptis
357,8,10,7,10,0,"Tahap-tahapan baptis dewasa : 1) Masa Praktekumenat : Masa pemurnian motivasi calon, yang diakhiri dengan upacara tahap pertama 2) Masa Katekumenat : Masa pengajaran dan pembinaan iman, serta latihan hidup dalam jemaat yang diakhiri dengan upacara tahap kedua 3) Persiapan terakhir : Masa khusus untuk mempersiapkan diri menerima sakramen sakramen Inisiasi dan diakhiri dengan tahap ketiga Upacara penerimaan sakramen baptis 4) Masa mistagogi : Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis"
358,8,10,7,10,0,1. Masa Pratekumenat: Masa pemurnian motivasi calon dan diakhiri dengan upacara pelantikan 2. Masa Katekumenat: Masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat 3. Masa persiapan terakhir yakni masa khusus persiapan diri sendiri sebelum menerima sakramen-sakramen inisiasi dan diakhiri dengan Upacara pembaptisan 4. Menerima sakramen baptis 5. Masa Mistagogi: Masa pembinaan lanjutan setelah menerima sakramen baptis
359,8,3,7,3,0,* kita harus masuk ke dalam tempat yang ada air seperti kolam renang atau sungai * kemudian kita meletakan kedua tangan kita bersilangan arah/sampai membentung huruf x * kemudian kita akan di bacakan ayat-ayat kudus * kemudian kita akan di masukan\di celupkan ke dalam air * kemudian setelah itu kita akan di angkat oleh pastur untuk bangkit * setelah itu kita akan keluar dari air di sungai atau kolam renang itu * setelah itu kita suda dianggap telah melaksanakan babtis dewasa * dan dengan demikian babtis dewasa sudah selesai untuk di lakukan
360,8,10,7,10,0,"a) Masa Prakatekumenat: masa pemurnian motivasi calon, diakhiri dengan pelantikan menjadi katekumen. b) Masa Katekumenat: masa pengajaran dan pembinaan iman dalam jemaat, diakhiri dengan pengukuhan Katekumenat terpilih. c) Masa persiapan terakhir: masa khusus persiapan menerima sakramen inisiasi, diakhiri dengan penerimaan sakramen baptis. d) Masa Mistagogi: masa pembinaan lanjutan setelah menerima sakramen baptis."
361,8,10,7,10,0,tahapan-tahapan yang harus dilalui dalam proses Baptis dewasa adalah 1.Masa Pratekumenat Di tahap ini diakhiri dengan upacara tahap pertama pelantikan Katekumen. 2.Masa Katekumenat Di tahap yang kedua ini diakhiri dengan upacara tahap kedua pengukuhan terhadap katekumenat terpilih. 3.Masa persiapan akhir Tahapan ini diakhiri dengan upacara tahap ketiga penerimaan sakramen baptis. 4.Masa Mistatogi Tahap terakhir adalah masa pembinaan lanjut bagi yang sudah menerimannya.
362,8,10,7,10,0,1. masa prakatekumenat: masa pemurnian motivasi calon 2. masa katekumenat:masa pengajaran dan pembinaan iman lewat latihan hidup dalam jemaat 3. masa upacara terakhir: masa khusus untuk mempersiapkan diri untuk menerima sakramen inisiasi 4. masa mistagogi: masa lanjutan setelah menerima sakramen baptis
363,8,10,7,10,0,A.) Prakatekumenat = masa pemurnian motivasi calon diakhiri dengan upacara tahap pertama adalah menjadi katukumen. B.) Katekumenat = masa pembinaan atau pengajaran iman diakhiri dengan upacara tahap kedua adalah pengukuhan katekumen terpilih. C.) Masa Persiapan Terakhir = masa mempersiapkan diri untuk menerima sakramen-sakramen iniasi diakhiri dengan upacara tahap ketiga adalah penerimaan sakramen baptis. D.) Masa Mistagogi = masa pembinaan lanjutan setelah menerima sakramen baptis.
364,8,3,7,3,0,1. Mengakui dengan jujur bahwa telah melakukan kesalahan/dosa 2. Berjanji untuk tidak mengulangi kesalahan/dosa yang pernah dilakukan 3. melakukan pertobatan
365,8,10,7,10,0,Tahapan-tahapan yang harus dilalui dalam proses Babtis Dewasa adalah: 1. Masa Prakutemenat: Masa untuk memotivasi calon Babtis. 2. Masa Katekumenat: Masa untuk memberikan pembinaan dan pengajaran iman serta latihan hidup dalam Jemaat. 3. Masa persiapan terakhir: Masa yang secara khusus yang mempersiapkan diri menerima sakramen-sakramen inisiasi. 4. Masa mistagogi: Masa pembinaan lanjutan setelah menerima sakramen babtis.
366,8,3,7,3,0,1. Mengakui segala dosa/kesalahan 2. Diberkati dan berdoa 3. Bebas dari dosa 4. Tidak mengulangi dosa
367,8,10,7,10,0,Tahapan yang harus di lakukan dalam proses Baptis Dewasa : 1. Masa Prakatekumenat : Masa pemurnian motivasi calon baptis 2. Masa Katekumenat : Masa pembinaan calon baptis 3. Masa persiapan terakhir : Masa terakhir sebelum menerima sakramen baptis 4. Masa mistagogi : Masa pembinaan lanjutan setelah menerima sakramen baptis
368,8,9,7,9,0,"* masa pra-katekumenat : masa pemurnian motivasi calon * masa katekumenat : masa pengajaran dan peminaan iman, serta latihan hidup dalam jemaat * masa akhir : masa khusus persiapan akhir untuk mempersiapkan diri menerima sakramen-sakramen inisiasi dan diakhiri dengan tahap ke tiga upacara penerimaan sakramen baptis * mistagogi : masa pembinaan lanjutan setelah seseorang menerima sakramen baptis"
369,8,10,7,10,0,Masa Prakatakumenat: Masa pemurnian motivasi calon Masa Katakumenat: Masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat Masa Persiapan Terakhir: Masa untuk mempersiapkan penerimaan sakramen-sakramen inisiasi dan diakhiri dengan upaccara tahap ketiga yaitu upacara penerimaan sakramen baptis Masa Mistagogi: Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis
370,8,9,7,9,0,1. Masa Prakatekumenat: Masa pemurnian motivasi calon. 2. Masa Katekumenat: Masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat. 3. Masa Persiapan Terakhir: Masa khusus mempersiapkan diri menerima sakramen-sakramen inisiasi. 4. Masa Mistagogi: Masa pembinaan lanjutan setelah menerima sakramen baptis.
371,8,10,7,10,0,PROSES BAPTIS DEWASA 1) Masa praketekumenat -> masa permunian motivasi untuk calon baptis 2) Masa katekumenat -> Masa pengajaran untuk calon baptis agar siap untuk menerima sakramen baptis 3) Masa persiapan terakhir -> Masa persiapan terakhir untuk menerima sakrameb baptis. masa ini di diakhiri dengan penerimaan baptisan 3) Masa mistagogi -> Masa pembinaan lanjutan setelah menerima sakramen baptis
372,8,10,7,10,0,1. Masa prakatekumenat - Masa pemurnian motivasi calon 2. Masa katekumen - masa pelajaran atau pengajaran untuk calon baptis 3. Masa persiapan terakhir untuk menerima sakramen-sakramen inisiasi dan ketiga diakhiri dengan upacara pembaptisan 4. Masa mistagogi - pembinaan lanjutan setelah menerima sakramen baptis
373,8,10,7,10,0,"TAHAPAN-TAHAPAN YANG HARUS DILALUI DALAM PROSES BAPTIS DEWASA : * Masa Prakatekumenat : Yaitu masa pemurnian motivasi calon baptis yang diakhiri upaca tahap pertama, yaitu pelantikan menjadi Katekumen * Masa Katekumenat : Yaitu masa pembinaan dan pengajaran iman serta latihan hidup dalam jemaat yang diakhiri upacara tahap kedua, yaitu pengukuhan Katekumenat * Masa Persiapan terakhir : Yaitu masa khusus bagi Katekumenat untuk mempersiapkan diri menerima Sakramen Inisiasi yang diakhiri upacara tahap ketiga, yaitu penerimaan Sakramen baptis * Masa Mistagogi : Yaitu masa pembinaan lanjutan setelah menerima Sakramen Baptis"
374,8,10,7,10,0,"1. masa prakatekumenat, diakhiri dengan upacara pertama, yaitu pelantikan menjadi katekumen 2. masa katekumen, diakhiri dengan upacara kedua, yaitu pengukuhan katekumen terpilih 3. masa persiapan terakhir, diakhiri dengan upacara ketiga, yaitu upacara penerimaan sakramen baptis 4. masa mistagogi, yaitu masa pembinaan lanjutan setelah seseorang menerima sakramen baptis"
375,8,5,7,5,0,1.masa katekumenet (pemurnian motivasi calon) 2.lalu upaca terakhir penyiraman air ke kepala lalu pastur
376,8,5,7,5,0,1. masa pratakumenat 2. masa kumenat 3. masa upacara pembaptisan 4. masa misagogi yaitu masa pelantikan setelah upacara pembaptisan
377,8,10,7,10,0,"Sebelum mengikuti proes Baptis Dewasa, seorang calon akan melalui masa masa berikut yaitu :: a) Masa Prakatekumenat : masa ini adalah masa memotivasi calon dan diakhiri dengan proses tahap 1 b). Masa Katekumenat : ini masa dimana seorang calon akan dibina imannya dan mengikuti latihan hidup didalam jemaat. Proses ini akan diakhiri dengan proses tahap 2 c). Masa Persiapan Akhir : ini merupakan masa dimana calon akan mempersiapkan diri nya sebelum menerima sakramen sakramen inisiasi dan sakramen baptis d). Masa Mistagogi : adalah masa terakhir yaitu pembinaan iman lanjut kepada seorang calon yang telah dibaptis agar dapat hidup didalam Kristus"
378,8,10,7,10,0,"1). Masa Prakatekumenat, diakhiri dengan upacara tahap pertma, yaitu pelantikan menjadi katekumen. 2). Masa Katekumenat, diakhiri dengan upacara tahap kedua, yaitu upacara pengukuhan katekumenat terpilih. 3). Masa Persiapan Terakhir, diakhiri dengan upacara tahap ketiga, yaitu upacara untuk menerima Sakramen Baptis. 4). Masa Mistagogi, yaitu seseorang yang telah menerima Sakramen Baptis"
379,8,10,7,10,0,1. Masa Prakatekumenat: Masa pemurnian motivasi calon. 2. Masa Katekumenat: Masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat. 3. Masa persiapan terakhir: Persiapan terakhir yakni masa khusus untuk mempersiapkan diri menerima sakramen-sakramen inisiasi dan diakhiri dengan tahap ketiga Upacara penerimaan sakramen baptis. 4. Masa Mistagogi: Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis.
380,8,10,7,10,0,"1. Masa prakatekumenat,diakhiri dengan tahap pertama,yaitu masa permunian calon 2. Masa katekumenat,diakhiri dengan tahap kedua,yaitu upacara pengajaran dan pembinaan iman serta latihan hirup dalam jemaat 3. Masa persiapan terakhir,diakhiri dengan tahap ketiga, yaitu upacara penerimaan Sakramen Baptis 4. Masa mitagogi,yaitu masa pembinaan upacara setelah seseorang menerima Sakramen Baptis"
381,8,7,7,7,0,1.masa prakatekumenat 2.masa katekumenat 3. masa persiapan akhir 4. masa mistagogi
382,8,4,7,4,0,1. Katekumenat 2. Prakatekumenat
383,8,10,7,10,0,1. Masa Prakatekumenat : Masa pembinaan motivasi calon 2. Masa Katekumenat : Masa pengajaran dan pembinaan iman serta latihan hidup 3. Masa Persiapan Terakhir yakni masa khusus untuk mempersiapkan diri menerima sakramen - sakramen inisiasi 4. Masa Mistagogi : Masa pembinaan lanjutan setelah menerima sakramen baptis
384,8,10,7,10,0,Masa Prakatekumenat : masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat. Masa Katekumen : masa pemurnian motivasi calon. Masa Persiapan Terakhir : masa khusus untuk mempersiapkan diri menerima sakramen-sakramen inisiasi dan diakhiri dengan tahap ketiga upacara penerimaan Sakramen Babtis. Masa mistagogi : Masa pembinaan lanjutan setelah seseorang menerima Sakramen Babtis.
385,8,5,7,5,0,-Masa prakatekumat -Masa katekumen -Masa pelajaran terakhir -mistagogi
386,8,9,7,9,0,1.Pra-katekumenat motivasi dalam pembelajaran lalu diadakan upacara kesatu untuk menjadi 2. katekumenat sebagai pembelajaraan dalam pembatisan yang diakhiri dengan upacara ke 2 3. persiapan akhir yang dimana seseorang di baptis setelah melalui masa pembelajaraan katekumenat 4. mistagogi sebagai bimbingan akhir setelah seseorang di baptis
387,8,3,7,3,0,"percaya kepada Kristus sebagai penyelamat, mengikuti pelajaran calon katekumen sekurang-kurangnya satu tahun, mengucapkan pengakuan imam pada waktu pembaptisan."
388,8,10,7,10,0,-pertama : masa prakatekumenat selalu diakhiri dengan upacara tahap pertama. lalu pelantikkan ketakumen -kedua ; masa kutekumenat selalu diakhiri dengan upacara tahap kedua. lalu pengakuan terhadap kutakumenat terpilih -ketiga : masa persiapan terakhir selalu diakhiri dengan upacara ketiga. lalu upacara penerimaan sakramen baptis -keempat: masa mistagogi masa pembinaan lanjutan setelah seorang menerima sakramen baptis
389,8,3,7,3,0,"siap akan melayani tuhan dengan segenap hati,harus selalu imgat akan tanggung jawab di gereja. bersiap untuk bertobat dan tidak melakukan hal yang bedosa. dan harus berusia 17 Tahun agar bisa membedakan mana yang baik dan mana yang tidak baik. dan harus terlebih dahulu menjalani katekese."
390,8,5,7,5,0,"a) masa prakatekumen: masa dimana memotivasi kan calon,yang pertama diakhiri dengan upacara b) masa katakumen masa yang dimana pengajaran karunia roh kudus c) masa persiapan"
391,8,6,7,6,0,Masa permunian calon Masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat Masa pembinaan lanjutan setelah seseorang melakukan baptis Persiapan terakhir yakni masa khusus untuk mempersiapkan diri menerima sakramen-sakramen dan diakhiri dengan menerima upacara terakhir penerimaan sakramen baptis
392,8,8,7,8,0,1. masa pengajaran atau pembinaan 2. masa pemurnian motivasi calon 3. masa pembinaan lanjut setelah di babtis 4. persiapan terahir masa khusus untuk mempersiapkan diri menerima sakramen sakramen inisiasi dan di akhiri dengan upacara menerima sakramen baptis
393,8,8,7,8,0,"1. Ada masa pemurnian motivasi calon baptis (diakhiri dengan upacara pertama) 2. Masa pengajaran dan pembinaan iman serta latihan hidup dalam jemaat (biasanya pertemuan akan dilakukan beberapa kali, diakhiri dengan upacara kedua). 3. Masa persiapan terakhir (persiapan menerima sakramen-sakramen inisiasi dan diakhiri Upacara Ketiga yaitu penerimaan sakramen baptis). 4. Pembinaan lanjutan setelah menerima baptis."
394,8,10,7,10,0,1. Masa prakatekumenat. Diakhiri dengan upacara tahap pertama dan peneguhan/motivasi calon baptis 2. Masa katekumenat. Diakhiri dengan upacara tahap kedua dan masa pembelajaran dan pelantikan calon baptis 3. Masa persiapan terakhir. Diakhiri dengan upacara tahap terakhir dan siap menerima sakramen baptis 4. Masa mistagogi. Merupakan pembinaan lanjutan setelah menerima sakramen baptis
395,8,10,7,10,0,1)Prakatekumenat diakhiri upacara pertama dan memotivasi calon katekumenat. 2)Katekumenat diakhiri upacara kedua. Katekumenat adalah masa pembinaan sebelum di baptis. 3)Masa persiapan terakhir Diakhiri upacara ketiga dan dilakukannya pembaptisan. 4)Mistagogi masa pembinaan lanjutan setelah di baptis.
396,8,8,7,8,0,Proses tahapan-tahapan babtis dewasa : - masa praktekumenat : pemurnian motivasi calon - masa katekumenat : calon babtisan - masa persiapan terakhir - mistagogi : pembelajaran tentang kehidupan setelah sakramen babtis
397,8,10,7,10,0,Tahap tahapan; Proses prakatekumenat: Pembersihan motivasi calon Proses katekumenat: Masa pengajaran iman serta latihan hidup dalam jemaat Proses persiapan terakhir: pembinaan terakhir dalam penerimaan sakramen babtis Proses mistogogi: masa pembelajaran lanjutan dalam penerimaan sakramen babtis
398,8,5,7,5,0,* Masa Prakatekumen * Masa katekumenat * Masa Pembinaan selanjutnya
399,8,8,7,8,0,1. MASA PRATAKUMENAT DIAKHIRI DENGAN UPACARA TAHAP PERTAMA YAITU PELANTIKAN KATAKUMENAT 2. MASA KATAKUMENAT DIAKHIRI DENGAN UPACARA TAHAP KEDUA YAITU UPACARA PENGUKUHAN KATAKUMENAT TERPILIH 3. MASA PERSIAPAN TERAKHIR DIAKHIRI DENGAN UPACARA TAHAP KETIGA YAITU PENERIMAAN SAKRAMEN BAPTIS 4. MASA MISTAGOGI YAITU LANJUTAN PEMBINAAN KETIKA SESEORANG SUDAH MENERIMA SAKRAMEN BAPTIS
400,8,7,7,7,0,masa pratekumenat merupakan tahapan pertama masa katekumenat merupakan tahapan kedua masa misgogi masa tobat
401,8,3,7,3,0,1.katakument 2.paratukument
402,8,10,7,10,0,"1. Masa prakatekumenat: masa pemurnian motivasi calon. 2. Masa katekumenat: masa pembinaan lanjutan setelah seseorang menerima sakramen baptis. 3. Masa persiapan terakhir: masa khusus untuk mempersiapkan diri menerima sakramen–sakramen inisiasi dan diakhiri dengan tahap ketiga Upacara peneriman sakramen baptis. 4. Masa mistagogi: Upacara tahap keempat, sudah menerima sakramen baptis."
403,8,10,7,10,0,1. Masa Pratakumenat : masa pemurnian motivasi calon 2. Masa Katakumenat : masa pengajaran iman serta latihan hidup dalam jemaat yang diselesaikan dengan cara upacara pengukuhan 3. Masa Persiapan Terakhir : masa khusus mempersiapkan diri menerima sakramen baptis dan diakhiri dengan tahap ketiga upacara penerimaan baptis 4. Masa Mitagogi : masa pembinaan lanjutan setelah seseorang menerima sakramen baptis
404,8,10,7,10,0,1) Masa Prakatekumenat yaitu Masa permurnian motivasi calon 2) Katekumenat yaitu masa pembinaan/pengajaran iman serta latihan hidup dalam jemaat. 3)Persiapan terakhir yakni masa khusus untuk mempersiapkan diri menerima sakramen–sakramen inisiasi dan diakhiri dengan tahap ketiga Upacara peneriman sakramen baptis. 4) Masa Mistagogi yaitu masa Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis
405,8,5,7,5,0,tahapan-tahapan ynag harus dilalui dalam proses baptis dewasa adalah prakatekumenat katekumenat dan lain-lain maaf pak/bu saya lupa
406,8,10,7,10,0,* Masa prakatekumenat : Masa pemurnian motivasi calon. * Masa katekumenat : Masa pengajaran/pembinaan iman serta pelatihan hidup untuk calon. * Masa persiapan terakhir : Persiapan sebelum calon menerima sakramen inisiasi. * Masa mistagogi : Masa pembinaan lanjutan setelah seseorang menerima sakramen baptis.
